URL,Quote,Subline,Explanation
https://www.politifact.com/factchecks/2024/nov/26/instagram-posts/theres-no-evidence-half-of-all-ukrainian-aid-was-l/,"""Half of all Ukrainian aid was laundered and sent back to Democrat candidates for re-election.""",There's no evidence half of all Ukrainian aid was laundered to fund Democratic political campaigns,"There’s no evidence that half of the U.S. aid to Ukraine was diverted to fund Democratic political campaigns.
The U.S. government oversees equipment and money sent to Ukraine and it has said there’s no evidence of illicit diversion of aid."
https://www.politifact.com/factchecks/2024/nov/26/instagram-posts/aoc-didnt-say-a-conservative-news-outlet-asked-her/,AOC posted that Trump’s election victory emboldened a conservative news outlet to call for her resignation because she’s a woman.,AOC didn’t say a conservative news outlet asked her to resign because she’s a woman,"This post does not appear on either of Rep. Alexandria Ocasio-Cortez, D-N.Y.’s official X accounts.
News outlets did not report on Ocasio-Cortez making such a statement.
The handle of the image screenshot is from an Ocasio-Cortez X parody account; the post does not appear on the parody account."
https://www.politifact.com/factchecks/2024/nov/26/facebook-posts/no-ireland-wont-pay-you-to-move-to-an-island-it-of/,"""Ireland will pay you $90,000 to move to a beautiful island home.”","No, Ireland won’t pay you to move to an island; it offers grant money to fix up vacant homes","Ireland in June 2023 announced a 10-year Our Living Islands initiative to halt population decline on its 30 or so remote islands.
The program offers up to about $88,000 in grant money to property owners to refurbish vacant and derelict homes and live in them or offer them as long-term rentals.
The program is open to foreign nationals who meet residency requirements, but the government does not pay anyone to move to an island home."
https://www.politifact.com/factchecks/2024/nov/26/facebook-posts/no-michael-jordan-didnt-turn-down-a-100-million-di/,"“Michael Jordan turns down $100 million Disney deal, declares he won’t work for wokeness.”","No, Michael Jordan didn’t turn down a $100 million Disney deal because the company is too ‘woke’","This claim is unfounded and some posts labeled it ""satire."""
https://www.politifact.com/factchecks/2024/nov/26/facebook-posts/its-false-that-these-celebrities-have-moved-to-oth/,"Celebrities including Bruce Springsteen, Robert De Niro, Robert Downey Jr., John Legend and Tom Hanks have announced they are leaving the U.S. following the 2024 election.",It's False that these celebrities have moved to other countries after the 2024 election,"None of these celebrities have publicly announced plans to leave the United States.
No credible news outlets have reported such stories.
Some of these claims originated as satire."
https://www.politifact.com/factchecks/2024/nov/26/facebook-posts/no-donald-trump-has-not-officially-banned-same-sex/,“Donald Trump has officially banned” same-sex marriage “in all 50 states in America.”,Trump hasn't banned same-sex marriage in US; claim he has is Pants on Fire!,"President-elect Donald Trump has not banned same-sex marriage in the U.S. Trump has not taken office yet, and even if he had, he wouldn’t have unilateral power to ban same-sex marriage.
PolitiFact found no White House statements or news articles saying that same-sex marriage has been banned in the U.S.
In 2015, the U.S. Supreme Court ruled same-sex marriage legal in all 50 states. The 2022 Respect for Marriage Act further protects same-sex marriage."
https://www.politifact.com/factchecks/2024/nov/26/donald-trump/president-elect-trump-says-wisconsins-electric-and/,"“With your Democrat governor, you have some of the highest electricity prices and highest energy costs. It’s just about at the top in Wisconsin.”",President-elect Trump says Wisconsin’s electric and energy costs are 'just about at the highest',"According to its most recent
state-by-state ranking of total energy expenditures per capita
, from 2022, Wisconsin ranked 24th out of all 50 states plus Washington, D.C.
Wisconsin has historically had higher electric rates than the national average, according to the state’s Public Service Commission — but even with the 14th-highest average rate in the nation in August, it doesn’t break the top quarter of states.
Looking at average residential electric bills, Wisconsin is routinely lower than the national average, according to the Public Service Commission. And Although Gov. Tony Evers appoints commissioners to the Public Service Commission, he isn’t involved in rate setting."
https://www.politifact.com/factchecks/2024/nov/26/threads-posts/no-donald-trump-didnt-lose-the-popular-vote/,Donald Trump lost the popular vote by 2%.,"No, Donald Trump didn’t lose the popular vote",President-elect Donald Trump’s margin of victory has narrowed as more votes have been counted. Current numbers still show he won the popular vote by about 2%.
https://www.politifact.com/factchecks/2024/nov/26/social-media/esta-foto-de-una-mujer-con-su-hija-y-un-cartel-sob/,"Una mujer posó junto a su hija con un cartel que dice, “Quiero que mi hija tenga el derecho a abortar que yo no tuve”.",Esta foto de una mujer con su hija y un cartel sobre el derecho al aborto fue manipulada,"La foto fue manipulada.
La foto original fue publicada en marzo de 2023 y muestra que el cartel de la mujer decía: ""Soy mamá de la niña que jamás vas a tocar"".
Si ves algo que te hace preguntar: ¿es cierto?
Mándanoslo por WhatsApp y nuestro equipo lo investigará, (813) 260-7595.
¡Sigue nuestro canal en WhatsApp!"
https://www.politifact.com/factchecks/2024/nov/25/instagram-posts/no-rachel-maddow-didnt-break-down-in-tears-at-elon/,“Rachel Maddow MELTS DOWN over Elon Musk posting memes about buying MSNBC.”,"No, Rachel Maddow didn’t break down in tears at Elon Musk’s memes about buying MSNBC","The video purporting to show news host Rachel Maddow crying because entrepreneur Elon Musk posted memes about buying MSNBC is from 2018, and it was in response to news about then-President Donald Trump’s border policies. The video originated as satire.
Musk has joked about buying the liberal news network since parent company Comcast announced it would spin off its cable news channels, but the network isn’t for sale."
https://www.politifact.com/factchecks/2024/nov/25/instagram-posts/no-donald-trump-didnt-name-former-nba-player-karl/,"""Donald Trump has appointed NBA legend Karl Malone as the new director of Child Protective Services.""","No, Donald Trump didn’t name former NBA player Karl Malone director of Child Protective Services",The post originated on an account that shares parody posts.
https://www.politifact.com/factchecks/2024/nov/25/social-media/photo-of-woman-holding-sign-about-her-daughter-and/,"A woman holds a sign that says, “I want my daughter to have the right to abortion that I didn’t have.”",Photo of woman holding sign about her daughter and abortion rights was digitally manipulated,"The photo was manipulated. A photograph posted in March 2023 shows that the woman’s sign said, ""I’m the mother of the girl you’ll never touch,"" in Spanish."
https://www.politifact.com/factchecks/2024/nov/22/facebook-posts/social-posts-about-kyle-rittenhouse-registering-a/,"""Kyle Rittenhouse registers a lien against Whoopi Goldberg’s Malibu home for $22 million.”",Social posts about Kyle Rittenhouse registering a lien against Whoopi Goldberg started as satire,This claim originated on a satire website.
https://www.politifact.com/factchecks/2024/nov/22/facebook-posts/no-taylor-swift-didnt-move-to-canada-after-trumps/,“Taylor Swift has moved to Canada after leaving the U.S. following the big red wave.”,"No, Taylor Swift didn’t move to Canada after Trump’s election win","Singer-songwriter Taylor Swift has been in Toronto, Canada, for her Eras Tour, which concludes in Vancouver on Dec. 8.
Swift’s Canada shows were scheduled long before President-elect Donald Trump won the 2024 election and Republicans gained control of Congress.
We searched Google and the Nexis news database but found no credible reports of Swift moving to Canada. Swift hasn’t made a public announcement that she’s moving."
https://www.politifact.com/factchecks/2024/nov/22/facebook-posts/no-billie-eilish-is-not-leaving-the-country-after/,"""Billie Eilish turns down Oscar nomination and leaves US after MASSIVE RED WAVE""","No, Billie Eilish is not leaving the country after Donald Trump’s election win","Billie Eilish, the Oscar-winning pop star, supported Vice President Kamala Harris and criticized President-elect Donald Trump after his election win.
The singer has not announced any plans to leave the United States, and there are no credible news stories reporting as much."
https://www.politifact.com/factchecks/2024/nov/22/facebook-posts/no-president-elect-donald-trump-didnt-expose-a-sec/,"There are “$6,400 in funds for every American to claim.”","No, President-elect Donald Trump didn’t ‘expose’ a secret program offering $6,400 to every American","False social media claims about free government money are common, often linking to sites outside official government channels. The federal government has warned against these scams.
There is no federal program offering $6,400 for every American, and President-elect Donald Trump never claimed to expose such a program."
https://www.politifact.com/factchecks/2024/nov/22/facebook-posts/no-mcdonalds-chicken-mcnuggets-in-the-us-do-not-co/,"""McDonalds chicken nuggets contain silicone oil.""","No, McDonald’s Chicken McNuggets in the US do not contain silicone oil","In the U.S., McDonald’s chicken nuggets contain no silicone oil.
The company’s Chicken McNuggets once contained dimethylpolysiloxane, an antifoaming agent derived from silicone that’s approved by the U.S. Food and Drug Administration.
In 2016, McDonald’s USA announced the removal of artificial preservatives from several menu items, including its Chicken McNuggets."
https://www.politifact.com/factchecks/2024/nov/22/facebook-posts/no-elon-musk-did-not-ban-actor-robert-de-niro-from/,"“Elon Musk permanently bans Robert De Niro from X, declares ‘no room for his woke presence.’”","No, Elon Musk did not ban actor Robert De Niro from X","The headline originated as satire.
Robert De Niro’s publicist told PolitiFact that De Niro does not have or use social media.
We searched Google for news of Elon Musk banning De Niro from X, but found none. There were only fact-checks of the claim."
https://www.politifact.com/factchecks/2024/nov/21/viral-image/no-trump-didnt-call-joe-scarborough-a-scolded-dog/,President-elect Donald Trump called Joe Scarborough “a scolded dog” on Truth Social.,"No, Trump didn’t call Joe Scarborough a ‘scolded dog’ on Truth Social",This post was fabricated.
https://www.politifact.com/factchecks/2024/nov/21/viral-image/no-elon-musk-didnt-threaten-to-suspend-x-users-who/,Says Elon Musk said he would suspend X “accounts calling me fat.”,"No, Elon Musk didn’t threaten to suspend X users who call him fat",This post was fabricated.
